Photon Energy 0,ver_div 0,Photon Energy 1,ver_div 1,Photon Energy 3,ver_div 3,Photon Energy 5,ver_div 5,Photon Energy 7,ver_div 7,Photon Energy 9,ver_div 9,Photon Energy 11,ver_div 11
108943.1909902619,2.145329924616976e-06,13941.776558323403,5.1379429502674554e-06,41825.32967497021,4.057198720497991e-06,69708.88279161703,3.899496850297168e-06,97592.43590826383,3.838242646717402e-06,125475.98902491064,3.8056652063694584e-06,153359.54214155744,3.785444253772114e-06
112938.18509547012,2.12285485372822e-06,14136.714086254093,5.104949308251154e-06,42410.14225876228,4.032362227741334e-06,70683.57043127046,3.875882115165085e-06,98956.99860377864,3.815105355503208e-06,127230.42677628684,3.782782541483045e-06,155503.85494879502,3.7627198892500645e-06
116933.17920067835,2.101699234474351e-06,14331.651614184782,5.072647301420492e-06,42994.95484255435,4.0080537043126555e-06,71658.25807092391,3.8527709037735094e-06,100321.56129929348,3.7924620387692273e-06,128984.86452766304,3.7603887590861136e-06,157648.1677560326,3.7404812417821033e-06
120928.17330588658,2.081747267867994e-06,14526.58914211547,5.041013515248422e-06,43579.767426346414,3.98425520047766e-06,72632.94571057736,3.830146080249495e-06,101686.1239948083,3.7702958783463816e-06,130739.30227903924,3.738467210367538e-06,159792.48056327016,3.7187117678196036e-06
124923.16741109481,2.062896567809474e-06,14721.526670046162,5.0100256265567496e-06,44164.58001013848,3.960949604593444e-06,73607.63335023081,3.8079913091480316e-06,103050.68669032311,3.74859084179638e-06,132493.74003041544,3.7170020244137314e-06,161936.79337050777,3.697395696843291e-06
128918.16151630304,2.0450562477359995e-06,14916.46419797685,4.979662339040527e-06,44749.39259393055,3.9381205935495695e-06,74582.32098988425,3.786291008109845e-06,104415.24938583793,3.727331635934368e-06,134248.17778179166,3.6959780621921995e-06,164081.10617774533,3.6765179856332314e-06
132913.15562151125,2.0281453289749754e-06,15111.401725907539,4.949903323385679e-06,45334.205177722615,3.9157525867417e-06,75557.0086295377,3.765030303894215e-06,105779.81208135276,3.7065036636651477e-06,136002.61553316785,3.675380873815909e-06,166225.4189849829,3.6560642757992723e-06
136908.14972671948,2.0120914089405394e-06,15306.339253838229,4.920729161598197e-06,45919.01776151468,3.893830703284194e-06,76531.69626919115,3.7441949915062566e-06,107144.3747768676,3.686092983857477e-06,137757.05328454406,3.6551966588157115e-06,168369.7317922205,3.6360208543008725e-06
140903.1438319277,1.9968295406227218e-06,15501.276781768916,4.892121295199344e-06,46503.83034530675,3.8723407221957395e-06,77506.38390884458,3.72377149616461e-06,108508.93747238241,3.6660862740070476e-06,139511.49103592025,3.635412229173857e-06,170514.04459945808,3.616374616710892e-06
144898.13793713594,1.9823012849766257e-06,15696.214309699606,4.864061976973594e-06,47088.642929098816,3.851269045317085e-06,78481.07154849803,3.7037468378792975e-06,109873.50016789723,3.64647079546206e-06,141265.92878729646,3.616014974894765e-06,172658.35740669566,3.59711303300088e-06
