Photon Energy 0,ver_size 0,Photon Energy 1,ver_size 1,Photon Energy 3,ver_size 3,Photon Energy 5,ver_size 5,Photon Energy 7,ver_size 7,Photon Energy 9,ver_size 9,Photon Energy 11,ver_size 11
124923.16741109481,3.763806012837667e-06,14721.526670046162,4.612735639966227e-06,44164.58001013848,4.005860172127946e-06,73607.63335023081,3.881956858222589e-06,103050.68669032311,3.831776982684856e-06,132493.74003041544,3.805120196908976e-06,161936.79337050777,3.788364605043942e-06
128918.16151630304,3.759922997307108e-06,14916.46419797685,4.601312572287753e-06,44749.39259393055,4.001251965824197e-06,74582.32098988425,3.878848144804948e-06,104415.24938583793,3.829288086595543e-06,134248.17778179166,3.8029636552379873e-06,164081.10617774533,3.7864180955516505e-06
132913.15562151125,3.756269747401483e-06,15111.401725907539,4.590156883739962e-06,45334.205177722615,3.996757542172771e-06,75557.0086295377,3.8758172386086875e-06,105779.81208135276,3.826861847561854e-06,136002.61553316785,3.8008615758314306e-06,166225.4189849829,3.784520843373938e-06
136908.14972671948,3.752826450873937e-06,15306.339253838229,4.579259199902927e-06,45919.01776151468,3.9923727301928246e-06,76531.69626919115,3.872861251934728e-06,107144.3747768676,3.824495927534576e-06,137757.05328454406,3.798811920366064e-06,168369.7317922205,3.7826710014653743e-06
140903.1438319277,3.749575510158702e-06,15501.276781768916,4.568610583303057e-06,46503.83034530675,3.988093560674183e-06,77506.38390884458,3.869977438358225e-06,108508.93747238241,3.822188103426967e-06,139511.49103592025,3.796812751024958e-06,170514.04459945808,3.7808668140200893e-06
144898.13793713594,3.746501241265638e-06,15696.214309699606,4.558202508062243e-06,47088.642929098816,3.983916254101898e-06,78481.07154849803,3.867163184186506e-06,109873.50016789723,3.8199362601308466e-06,141265.92878729646,3.794862224375642e-06,172658.35740669566,3.7791066109048374e-06
148893.13204234416,3.7435896205091334e-06,15891.151837630296,4.548026836302674e-06,47673.45551289088,3.979837209439139e-06,79455.75918815148,3.864416000529856e-06,111238.06286341205,3.817738384035953e-06,143020.36653867265,3.7929585856905054e-06,174802.67021393322,3.7773888024948717e-06
152888.1261475524,3.7408280704328764e-06,16086.089365560983,4.538075796166336e-06,48258.26809668295,3.975852993697923e-06,80430.44682780493,3.861733515934444e-06,112602.62555892688,3.815592557010747e-06,144774.80429004887,3.7911001636725982e-06,176946.98302117083,3.7757118748790286e-06
156883.12025276062,3.7382052780303788e-06,16281.026893491673,4.52834196132107e-06,48843.08068047502,3.97196033223382e-06,81405.13446745838,3.859113469531395e-06,113967.18825444172,3.813496950806751e-06,146529.24204142508,3.7892853655534645e-06,179091.2958284084,3.7740743854035665e-06
160878.11435796885,3.735711039715518e-06,16475.964421422363,4.518818231836604e-06,49427.893264267084,3.968156099706558e-06,82379.82210711182,3.8565537046602785e-06,115331.75094995653,3.811449821852056e-06,148283.67979280127,3.7875126725327316e-06,181235.60863564597,3.772474958527168e-06
164873.10846317708,3.733336128559834e-06,16670.90194935305,4.509497816324331e-06,50012.70584805915,3.9644373116537875e-06,83354.50974676525,3.8540521629290935e-06,116696.31364547135,3.8094495064027503e-06,150038.11754417745,3.7857806355319722e-06,183379.92144288355,3.770912281962032e-06
168868.1025683853,3.7310721801520674e-06,16865.839477283742,4.500374215243994e-06,50597.51843185122,3.960801116629929e-06,84329.1973864187,3.851606878676264e-06,118060.87634098617,3.8074944160238864e-06,151792.55529555367,3.784087871237846e-06,185524.23425012114,3.769385103078274e-06
172863.09667359354,3.7289115941016947e-06,17060.77700521443,4.49144120528883e-06,51182.331015643285,3.957244788866336e-06,85303.88502607215,3.849215973803238e-06,119425.439036501,3.8055830333741368e-06,153546.99304692989,3.782433058411785e-06,187668.54705735872,3.7678922255509107e-06
176858.09077880176,3.7268474487404718e-06,17255.714533145117,4.482692824768358e-06,51767.14359943535,3.95376572141284e-06,86278.5726657256,3.846877652949047e-06,120790.00173201584,3.8037139082705776e-06,155301.43079830607,3.7808149344454915e-06,189812.8598645963,3.7664325062305315e-06
180853.08488401,3.7248734270035825e-06,17450.65206107581,4.474123359914867e-06,52351.95618322742,3.950361419724167e-06,87253.26030537905,3.844590198980709e-06,122154.56442753065,3.801885654012112e-06,157055.86854968226,3.779232292143362e-06,191957.1726718339,3.7650048522204443e-06
184848.07898921822,3.722983751817265e-06,17645.589589006497,4.46572733204589e-06,52936.76876701949,3.947029495657908e-06,88227.9479450325,3.842351968775585e-06,123519.12712304547,3.8000969439419107e-06,158810.30630105847,3.777683976714565e-06,194101.48547907145,3.763608218144562e-06
188843.07309442645,3.7211731295999923e-06,17840.527116937184,4.457499485520557e-06,53521.58135081155,3.943767661853502e-06,89202.63558468594,3.84016138927388e-06,124883.68981856029,3.798346508230925e-06,160564.7440524347,3.776168882959015e-06,196245.79828630906,3.7622416035916673e-06
192838.06719963468,3.719436700712803e-06,18035.464644867876,4.449434776432906e-06,54106.39393460362,3.940573726464286e-06,90177.32322433937,3.838016953781283e-06,126248.25251407512,3.7966331308660568e-06,162319.18180381088,3.7746859526327987e-06,198390.1110935466,3.7609040507229044e-06
196833.0613048429,3.717769995881511e-06,18230.402172798567,4.441528361989784e-06,54691.20651839569,3.937445588216958e-06,91152.01086399282,3.83591721850345e-06,127612.81520958996,3.7949556468279446e-06,164073.6195551871,3.7732341719798525e-06,200534.4239007842,3.7595946420304612e-06
