Photon Energy 0,hor_size 0,Photon Energy 1,hor_size 1,Photon Energy 3,hor_size 3,Photon Energy 5,hor_size 5,Photon Energy 7,hor_size 7,Photon Energy 9,hor_size 9,Photon Energy 11,hor_size 11
108943.1909902619,3.020150248508631e-05,13941.776558323403,3.0324148884184386e-05,41825.32967497021,3.0232946584074536e-05,69708.88279161703,3.0215874495838656e-05,97592.43590826383,3.0209110358589263e-05,125475.98902491064,3.020555226716752e-05,153359.54214155744,3.0203328266846714e-05
112938.18509547012,3.020086939651451e-05,14136.714086254093,3.032221522197902e-05,42410.14225876228,3.023226666944943e-05,70683.57043127046,3.0215429682666127e-05,98956.99860377864,3.0208758731229252e-05,127230.42677628684,3.0205249665935695e-05,155503.85494879502,3.020305631249738e-05
116933.17920067835,3.0200279554639866e-05,14331.651614184782,3.0320334044357497e-05,42994.95484255435,3.0231605236397135e-05,71658.25807092391,3.0214996963808413e-05,100321.56129929348,3.0208416665534103e-05,128984.86452766304,3.020495529369137e-05,157648.1677560326,3.0202791753983813e-05
120928.17330588658,3.0199728674500804e-05,14526.58914211547,3.0318503243070266e-05,43579.767426346414,3.0230961541466888e-05,72632.94571057736,3.021457585262094e-05,101686.1239948083,3.0208083776725414e-05,130739.30227903924,3.020466881926677e-05,159792.48056327016,3.0202534293657125e-05
124923.16741109481,3.019921301911977e-05,14721.526670046162,3.0316720821291255e-05,44164.58001013848,3.0230334880555673e-05,73607.63335023081,3.021416588822206e-05,103050.68669032311,3.0207759700397074e-05,132493.74003041544,3.0204389929028937e-05,161936.79337050777,3.0202283649629043e-05
128918.16151630304,3.0198729314618173e-05,14916.46419797685,3.031498488635271e-05,44749.39259393055,3.0229724586339054e-05,74582.32098988425,3.0213766633810437e-05,104415.24938583793,3.0207444091184586e-05,134248.17778179166,3.0204118325734343e-05,164081.10617774533,3.020203955474234e-05
132913.15562151125,3.019827468063604e-05,15111.401725907539,3.0313293643041255e-05,45334.205177722615,3.022913002590076e-05,75557.0086295377,3.0213377675112664e-05,105779.81208135276,3.0207136621537377e-05,136002.61553316785,3.0203853727472124e-05,166225.4189849829,3.0201801755621e-05
136908.14972671948,3.0197846572930975e-05,15306.339253838229,3.0311645387405077e-05,45919.01776151468,3.0228550598543215e-05,76531.69626919115,3.0212998618949385e-05,107144.3747768676,3.020683698058485e-05,137757.05328454406,3.0203595866688048e-05,168369.7317922205,3.020157001179288e-05
140903.1438319277,3.019744273573976e-05,15501.276781768916,3.031003850102749e-05,46503.83034530675,3.022798573376319e-05,77506.38390884458,3.021262909190959e-05,108508.93747238241,3.0206544873087996e-05,139511.49103592025,3.0203344489282073e-05,170514.04459945808,3.02013440948786e-05
144898.13793713594,3.0197061162018815e-05,15696.214309699606,3.0308471445726274e-05,47088.642929098816,3.022743488937818e-05,78481.07154849803,3.021226873912364e-05,109873.50016789723,3.0206260018469062e-05,141265.92878729646,3.020309935377317e-05,172658.35740669566,3.020112378784082e-05
148893.13204234416,3.019670006008411e-05,15891.151837630296,3.0306942758642438e-05,47673.45551289088,3.022689754979059e-05,79455.75918815148,3.021191722312656e-05,111238.06286341205,3.0205982149912647e-05,143020.36653867265,3.0202860230525576e-05,174802.67021393322,3.0200908884288793e-05
152888.1261475524,3.0196357825480187e-05,16086.089365560983,3.030545104768531e-05,48258.26809668295,3.0226373224378023e-05,80430.44682780493,3.021157422280394e-05,112602.62555892688,3.0205711013532122e-05,144774.80429004887,3.020262690103128e-05,176946.98302117083,3.0200699187833426e-05
