Photon Energy 0,hor_div 0,Photon Energy 1,hor_div 1,Photon Energy 3,hor_div 3,Photon Energy 5,hor_div 5,Photon Energy 7,hor_div 7,Photon Energy 9,hor_div 9,Photon Energy 11,hor_div 11
49018.279412138465,5.010827711366573e-06,11017.713639363066,7.077672966658207e-06,33053.1409180892,6.125230998887672e-06,55088.56819681534,5.994218317130011e-06,77123.99547554147,5.943979678509724e-06,99159.42275426761,5.917413852499362e-06,121194.85003299374,5.900978648718866e-06
53013.27351734669,4.965299507749861e-06,11212.651167293756,7.039480956821913e-06,33637.95350188127,6.099009341408633e-06,56063.25583646879,5.969733504231806e-06,78488.55817105628,5.920167768106787e-06,100913.86050564381,5.8939593645039e-06,123339.1628402313,5.8777458451624015e-06
57008.26762255492,4.9258158438612626e-06,11407.588695224445,7.002396483825293e-06,34222.766085673335,6.07357638748152e-06,57037.94347612223,5.945989789710076e-06,79853.12086657112,5.897078396198192e-06,102668.29825702001,5.871217528968678e-06,125483.47564746889,5.855219552591268e-06
61003.26172776315,4.891244775092456e-06,11602.526223155135,6.966370573203236e-06,34807.5786694654,6.048896442937283e-06,58012.63111577567,5.9229534873750715e-06,81217.68356208593,5.874678662079564e-06,104422.73600839621,5.8491558642326865e-06,127627.78845470648,5.833367549900865e-06
64998.25583297138,4.860720999558345e-06,11797.463751085823,6.931357160276985e-06,35392.39125325747,6.024935966020218e-06,58987.31875542912,5.900592948519564e-06,82582.24625760075,5.8529376575045835e-06,106177.17375977241,5.827743857055929e-06,129772.10126194404,5.8121595694552194e-06
68993.24993817961,4.833571567379564e-06,11992.401279016512,6.897312873716429e-06,35977.203837049536,6.001663405733409e-06,59962.006395082564,5.878878408572327e-06,83946.80895311559,5.831826316594353e-06,107931.61151114861,5.806952814267347e-06,131916.41406918163,5.79156714981655e-06
72988.24404338784,4.809265155803642e-06,12187.338806947202,6.864196838369496e-06,36562.0164208416,5.9790490546676535e-06,60936.694034736014,5.857781847511261e-06,85311.3716486304,5.8113172792227776e-06,109686.04926252482,5.7867557277373695e-06,134060.7268764192,5.77156350170527e-06
76983.23814859607,4.7873766152622106e-06,12382.27633487789,6.831970495368799e-06,37146.82900463367,5.95706491481137e-06,61911.38167438946,5.837276862607282e-06,86675.93434414524,5.791384766477938e-06,111440.48701390102,5.767127151290373e-06,136205.0396836568,5.752123385815226e-06
80978.2322538043,4.767561672334269e-06,12577.21386280858,6.800597437758816e-06,37731.64158842574,5.9356845750156085e-06,62886.06931404291,5.817338552238067e-06,88040.49703966005,5.7720044669639886e-06,113194.92476527722,5.7480430883352365e-06,138349.35249089438,5.733223001270873e-06
84973.22635901252,4.74953854561648e-06,12772.15139073927,6.770043260089478e-06,38316.45417221781,5.914883098941692e-06,63860.75695369635,5.797943409656861e-06,89405.05973517487,5.753153432851366e-06,114949.36251665343,5.729480889133782e-06,140493.66529813193,5.714839883653638e-06
88968.22046422075,4.733074364149739e-06,12967.088918669959,6.740275420598654e-06,38901.26675600988,5.894636922452645e-06,64835.44459334979,5.779069225728638e-06,90769.6224306897,5.734809984707665e-06,116703.80026802962,5.711419156750208e-06,142637.97810536955,5.696952811647246e-06
92963.21456942898,4.7179749842691975e-06,13162.026446600648,6.711263114760172e-06,39486.079339801945,5.874923759526316e-06,65810.13223300324,5.760694999757055e-06,92134.18512620452,5.7169536242504075e-06,118458.23801940584,5.693837660832224e-06,144782.2909126071,5.679541721458643e-06
